,song,artist,date,explicit,uri,popularity,ironhacker,links
0,Honey,"['Drugdealer', 'Weyes Blood']",2019-04-19,False,spotify:track:1XU6JOnyH8fSW0vzofEMCb,43,1129644679,https://open.spotify.com/track/1XU6JOnyH8fSW0vzofEMCb
1,Someone To Spend Time With,Los Retros,2019-02-12,False,spotify:track:6SE4JAo7T8C7XkFka5bbga,73,1129644679,https://open.spotify.com/track/6SE4JAo7T8C7XkFka5bbga
2,Avalon,Foxygen,2017-01-20,False,spotify:track:1C2i9IMvzAHJSPvMpOHjIM,33,1129644679,https://open.spotify.com/track/1C2i9IMvzAHJSPvMpOHjIM
3,I Wanna Prove to You,The Lemon Twigs,2016-10-14,False,spotify:track:7MFZH5pIxzlL0RH88cJILH,43,1129644679,https://open.spotify.com/track/7MFZH5pIxzlL0RH88cJILH
4,Amtrak,Los Retros,2021-04-26,False,spotify:track:2MHEBMTdz8POCwewLjO6CO,0,1129644679,https://open.spotify.com/track/2MHEBMTdz8POCwewLjO6CO
5,Homage,Mild High Club,2016-08-26,False,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,78,1129644679,https://open.spotify.com/track/7DcJ6fEBb7BaKuYKTwiDxK
6,Not Enough,FUR,2017-08-07,False,spotify:track:5g1GC2fYOXkjv2rV3l0pPQ,0,1129644679,https://open.spotify.com/track/5g1GC2fYOXkjv2rV3l0pPQ
7,You Don't Know This Guy,Her's,2017-05-12,False,spotify:track:5PxibFPxW06HBPab6KrcPP,50,1129644679,https://open.spotify.com/track/5PxibFPxW06HBPab6KrcPP
8,Streems,The Symposium,2017-04-20,False,spotify:track:6swJpZoCzbqjMb47o7BoVP,48,1129644679,https://open.spotify.com/track/6swJpZoCzbqjMb47o7BoVP
9,Dionysus,The Buttertones,2014-01-22,False,spotify:track:7wYU1avLwl1Gtkib8OTrZp,51,1129644679,https://open.spotify.com/track/7wYU1avLwl1Gtkib8OTrZp
10,Les Estrelles,Manel,2019-10-04,False,spotify:track:4SkF5mpMdLSy2ZHWcoqOPV,34,1129644679,https://open.spotify.com/track/4SkF5mpMdLSy2ZHWcoqOPV
11,Misty Morning,Travis Bretzer,2016-09-30,False,spotify:track:5ZaQW8tvH33GVJ0E3sLz2w,61,1129644679,https://open.spotify.com/track/5ZaQW8tvH33GVJ0E3sLz2w
12,Red River,The Symposium,2016-03-16,False,spotify:track:4AQp8VkbXMU9gDI9KzwV2l,48,1129644679,https://open.spotify.com/track/4AQp8VkbXMU9gDI9KzwV2l
13,Better For Me,Fake Laugh,2018-03-23,False,spotify:track:1fPgAlasrmolLvq1vDtkq3,44,1129644679,https://open.spotify.com/track/1fPgAlasrmolLvq1vDtkq3
14,You Might Be Sleeping,"['Jakob', 'Clairo']",2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,67,1129644679,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f
15,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,False,spotify:track:1SV1fxF65n9NhRHp3KlBuu,90,alvarogcambronero,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
16,L'exode,Jumo,2020-06-05,False,spotify:track:7r8kxDfdDrbIdHUGUrrShS,47,1183037273,https://open.spotify.com/track/7r8kxDfdDrbIdHUGUrrShS
