name;image;description;positions;known_for;Banda sonora;Guion y continuidad;Composición;sonido de archivo;Música;Como sí mismos;Agradecimientos;metraje de archivo;Producción;Dirección;Equipos adicionales
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;El aguador;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;6,1;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;Bobby Boucher;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;1998;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;El chico ideal;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;6,9;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;Robbie Hart;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;1998;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;Un papá genial;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
Adam Sandler;https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;"Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was a natural comic. He nurtured his talent while at New York University (graduating with a Bachelor of Fine Arts degree in 1991) by performing regularly in clubs and at universities. During his freshman year, he snagged a recurring role as the Huxtable family's friend Smitty on La hora de Bill Cosby (1984). While working at a comedy club in L.A., he was ""discovered"" by Dennis Miller, who recommended him to Saturday Night Live (1975) producer Lorne Michaels and told him that Sandler had a big talent. This led to his being cast in the show in 1990, which he also wrote for in addition to performing. After Saturday Night Live (1975), Sandler went on to the movies, starring in such hit comedies as Cabezas huecas (1994), Terminagolf (1996), Billy Madison (1995) and Un papá genial (1999). He has also starred in Mr. Deeds (2002) alongside Winona Ryder; Ocho noches locas (2002), an animated movie about the Jewish festival of Chanukah; and Embriagado de amor (2002). He also writes and produces many of his own films and has composed songs for several of them, including El chico ideal (1998). Sandler has had several of his songs placed on the ""Billboard"" charts, including the classic ""The Chanukah Song"".
- IMDb Mini Biography By: A. Nonymous";Reparto Producción Guion;6,4;34.0;7.0;3.0;2.0;1.0;256.0;10.0;80.0;;;
