,song,artist,date,explicit,uri,popularity,ironhacker,links
0,Honey,"['Drugdealer', 'Weyes Blood']",2019-04-19,False,spotify:track:1XU6JOnyH8fSW0vzofEMCb,40,1129644679,https://open.spotify.com/track/1XU6JOnyH8fSW0vzofEMCb
1,Someone To Spend Time With,Los Retros,2019-02-12,False,spotify:track:6SE4JAo7T8C7XkFka5bbga,71,1129644679,https://open.spotify.com/track/6SE4JAo7T8C7XkFka5bbga
2,Avalon,Foxygen,2017-01-20,False,spotify:track:1C2i9IMvzAHJSPvMpOHjIM,31,1129644679,https://open.spotify.com/track/1C2i9IMvzAHJSPvMpOHjIM
3,I Wanna Prove to You,The Lemon Twigs,2016-10-14,False,spotify:track:7MFZH5pIxzlL0RH88cJILH,41,1129644679,https://open.spotify.com/track/7MFZH5pIxzlL0RH88cJILH
4,Amtrak,Los Retros,2021-04-26,False,spotify:track:2MHEBMTdz8POCwewLjO6CO,0,1129644679,https://open.spotify.com/track/2MHEBMTdz8POCwewLjO6CO
5,Homage,Mild High Club,2016-08-26,False,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,75,1129644679,https://open.spotify.com/track/7DcJ6fEBb7BaKuYKTwiDxK
6,Not Enough,FUR,2017-08-07,False,spotify:track:5g1GC2fYOXkjv2rV3l0pPQ,0,1129644679,https://open.spotify.com/track/5g1GC2fYOXkjv2rV3l0pPQ
7,You Don't Know This Guy,Her's,2017-05-12,False,spotify:track:5PxibFPxW06HBPab6KrcPP,48,1129644679,https://open.spotify.com/track/5PxibFPxW06HBPab6KrcPP
8,Streems,The Symposium,2017-04-20,False,spotify:track:6swJpZoCzbqjMb47o7BoVP,46,1129644679,https://open.spotify.com/track/6swJpZoCzbqjMb47o7BoVP
9,Dionysus,The Buttertones,2014-01-22,False,spotify:track:7wYU1avLwl1Gtkib8OTrZp,48,1129644679,https://open.spotify.com/track/7wYU1avLwl1Gtkib8OTrZp
10,Les Estrelles,Manel,2019-10-04,False,spotify:track:4SkF5mpMdLSy2ZHWcoqOPV,31,1129644679,https://open.spotify.com/track/4SkF5mpMdLSy2ZHWcoqOPV
11,Misty Morning,Travis Bretzer,2016-09-30,False,spotify:track:5ZaQW8tvH33GVJ0E3sLz2w,58,1129644679,https://open.spotify.com/track/5ZaQW8tvH33GVJ0E3sLz2w
12,Red River,The Symposium,2016-03-16,False,spotify:track:4AQp8VkbXMU9gDI9KzwV2l,46,1129644679,https://open.spotify.com/track/4AQp8VkbXMU9gDI9KzwV2l
13,Better For Me,Fake Laugh,2018-03-23,False,spotify:track:1fPgAlasrmolLvq1vDtkq3,41,1129644679,https://open.spotify.com/track/1fPgAlasrmolLvq1vDtkq3
14,You Might Be Sleeping,"['Jakob', 'Clairo']",2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,65,1129644679,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f
15,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,False,spotify:track:1SV1fxF65n9NhRHp3KlBuu,80,alvarogcambronero,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
16,L'exode,Jumo,2020-06-05,False,spotify:track:7r8kxDfdDrbIdHUGUrrShS,44,1183037273,https://open.spotify.com/track/7r8kxDfdDrbIdHUGUrrShS
17,Jo competeixo,Manel,2016-04-08,False,spotify:track:5NSR9uH0YeDo67gMiEv13n,31,1129644679,https://open.spotify.com/track/5NSR9uH0YeDo67gMiEv13n
18,Waterfalls,TLC,1994-11-15,False,spotify:track:6qspW4YKycviDFjHBOaqUY,71,annxox,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY
19,Kill Bill - Sped Up Version,SZA,2023-01-13,False,spotify:track:2ty6DmPnxVPpEFuB23XM0x,74,annxox,https://open.spotify.com/track/2ty6DmPnxVPpEFuB23XM0x
20,Breathless,Caroline Polachek,2020-12-17,False,spotify:track:179YXh5spiRaUDJihittPG,50,belen.gasset,https://open.spotify.com/track/179YXh5spiRaUDJihittPG
21,Flowers,Miley Cyrus,2023-01-13,False,spotify:track:0yLdNVWF3Srea0uzk55zFn,100,belen.gasset,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn
22,Te Dejo Madrid,Shakira,2001-11-13,False,spotify:track:3ToWC9JYSmDIa9yJs0k6PO,55,8epi76oaztyef2ws47q0lwcuz,https://open.spotify.com/track/3ToWC9JYSmDIa9yJs0k6PO
23,Piano Man,Billy Joel,1973-11-07,False,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,75,11159625835,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ
