,song,artist,date,explicit,uri,popularity,usuario,links,uri_artista
0,Honey,"['Drugdealer', 'Weyes Blood']",2019-04-19,False,spotify:track:1XU6JOnyH8fSW0vzofEMCb,41,Pau,https://open.spotify.com/track/1XU6JOnyH8fSW0vzofEMCb,"['0tMnuEXTeJeHbslcV8OybJ', '3Uqu1mEdkUJxPe7s31n1M9']"
1,Someone To Spend Time With,Los Retros,2019-02-12,False,spotify:track:6SE4JAo7T8C7XkFka5bbga,71,Pau,https://open.spotify.com/track/6SE4JAo7T8C7XkFka5bbga,0qraFJK6boYSp4ZMMX4PzG
2,Avalon,Foxygen,2017-01-20,False,spotify:track:1C2i9IMvzAHJSPvMpOHjIM,31,Pau,https://open.spotify.com/track/1C2i9IMvzAHJSPvMpOHjIM,55LHFEtIplWhsfyWZUwkf4
3,I Wanna Prove to You,The Lemon Twigs,2016-10-14,False,spotify:track:7MFZH5pIxzlL0RH88cJILH,41,Pau,https://open.spotify.com/track/7MFZH5pIxzlL0RH88cJILH,7eYZSXnQVCODCVmTV8Hk2T
4,Amtrak,Los Retros,2021-04-26,False,spotify:track:2MHEBMTdz8POCwewLjO6CO,0,Pau,https://open.spotify.com/track/2MHEBMTdz8POCwewLjO6CO,0qraFJK6boYSp4ZMMX4PzG
5,Homage,Mild High Club,2016-08-26,False,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,76,Pau,https://open.spotify.com/track/7DcJ6fEBb7BaKuYKTwiDxK,5J81VungUjSVHxlPpTI9KG
6,Not Enough,FUR,2017-08-07,False,spotify:track:5g1GC2fYOXkjv2rV3l0pPQ,0,Pau,https://open.spotify.com/track/5g1GC2fYOXkjv2rV3l0pPQ,0e0z6v7dIm0XM7BgQTtB0a
7,You Don't Know This Guy,Her's,2017-05-12,False,spotify:track:5PxibFPxW06HBPab6KrcPP,48,Pau,https://open.spotify.com/track/5PxibFPxW06HBPab6KrcPP,77mJc3M7ZT5oOVM7gNdXim
8,Streems,The Symposium,2017-04-20,False,spotify:track:6swJpZoCzbqjMb47o7BoVP,46,Pau,https://open.spotify.com/track/6swJpZoCzbqjMb47o7BoVP,2FQgnKHydnhSnRS17BSy28
9,Dionysus,The Buttertones,2014-01-22,False,spotify:track:7wYU1avLwl1Gtkib8OTrZp,49,Pau,https://open.spotify.com/track/7wYU1avLwl1Gtkib8OTrZp,1CMml5seBEaxQzlmaGxMPx
10,Les Estrelles,Manel,2019-10-04,False,spotify:track:4SkF5mpMdLSy2ZHWcoqOPV,31,Pau,https://open.spotify.com/track/4SkF5mpMdLSy2ZHWcoqOPV,40tHhop0T30DwienQBmTxb
11,Misty Morning,Travis Bretzer,2016-09-30,False,spotify:track:5ZaQW8tvH33GVJ0E3sLz2w,59,Pau,https://open.spotify.com/track/5ZaQW8tvH33GVJ0E3sLz2w,2bNoMMVO2QO6vySQvjn50L
12,Red River,The Symposium,2016-03-16,False,spotify:track:4AQp8VkbXMU9gDI9KzwV2l,47,Pau,https://open.spotify.com/track/4AQp8VkbXMU9gDI9KzwV2l,2FQgnKHydnhSnRS17BSy28
13,Better For Me,Fake Laugh,2018-03-23,False,spotify:track:1fPgAlasrmolLvq1vDtkq3,42,Pau,https://open.spotify.com/track/1fPgAlasrmolLvq1vDtkq3,0T9yyggayix1EKjiq3hW2m
14,You Might Be Sleeping,"['Jakob', 'Clairo']",2017-06-16,False,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,65,Pau,https://open.spotify.com/track/2KvbRojbZGMsWr1Nuj5n2f,"['4ub2v80S4RIceZRGnlhjTr', '3l0CmX0FuQjFxr8SK7Vqag']"
15,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980-05-16,False,spotify:track:1SV1fxF65n9NhRHp3KlBuu,81,Elisa,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu,4STHEaNw4mPZ2tzheohgXB
