,state,gender,median_home_val,median_household_income,num_habitaciones,num_vecinos,total_habitaciones,total_baños,dist_playa
6,CA,F,1026.0,459.0,470.0,491.0,496.0,13803.0,11.25
12,CA,M,1538.0,271.0,317.0,342.0,393.0,15627.0,5.5
16,CA,F,596.0,164.0,168.0,181.0,190.0,5273.0,16.5
19,CA,F,2362.0,613.0,632.0,655.0,678.0,21179.0,8.928571429
20,CA,F,2089.0,275.0,296.0,322.0,356.0,10484.0,7.125
23,CA,F,1590.0,240.0,238.0,262.0,257.0,7559.0,13.5
29,CA,F,2143.0,280.0,353.0,328.0,373.0,12935.0,9.260869565
31,CA,M,1560.0,500.0,488.0,487.0,485.0,13816.0,15.0
35,CA,F,1431.0,291.0,390.0,315.0,376.0,10498.0,13.0
38,CA,F,1409.0,321.0,405.0,377.0,428.0,15611.0,12.66666667
47,CA,F,2377.0,,637.0,652.0,663.0,19545.0,9.111111111
48,CA,F,2016.0,431.0,465.0,459.0,497.0,17882.0,8.75
57,CA,F,2098.0,,311.0,352.0,368.0,13564.0,6.076923077
65,CA,M,2357.0,511.0,540.0,570.0,609.0,23786.0,13.66666667
71,CA,F,2725.0,629.0,684.0,662.0,734.0,24424.0,15.0
73,CA,F,889.0,398.0,488.0,450.0,495.0,13782.0,5.846153846
75,CA,M,1993.0,442.0,,484.0,520.0,,10.83333333
85,CA,F,2750.0,668.0,701.0,717.0,781.0,26199.0,11.44444444
87,CA,F,1848.0,505.0,515.0,560.0,581.0,,5.684210526
88,CA,M,1417.0,406.0,341.0,519.0,508.0,18590.0,14.11111111
95,CA,F,896.0,336.0,362.0,389.0,418.0,14513.0,20.0
99,CA,F,1125.0,280.0,336.0,305.0,362.0,10857.0,5.714285714
104,CA,F,1809.0,454.0,466.0,503.0,543.0,15886.0,8.0
111,CA,,2135.0,417.0,417.0,433.0,456.0,18907.0,8.2
114,CA,F,650.0,302.0,302.0,315.0,318.0,7080.0,8.666666667
116,CA,F,2925.0,288.0,305.0,353.0,376.0,23046.0,7.523809524
121,CA,M,1401.0,441.0,445.0,462.0,466.0,15438.0,5.0
131,CA,,1624.0,380.0,382.0,407.0,408.0,9685.0,5.0
143,CA,F,2430.0,604.0,610.0,659.0,669.0,20529.0,9.5
144,CA,M,2559.0,581.0,591.0,614.0,651.0,21559.0,10.25
158,CA,F,1458.0,173.0,191.0,220.0,249.0,8381.0,4.243243243
162,CA,M,2545.0,361.0,304.0,386.0,358.0,14300.0,12.5
164,CA,F,1187.0,328.0,366.0,393.0,428.0,13978.0,10.81481482
168,CA,F,2598.0,,557.0,562.0,661.0,31631.0,8.222222222
169,CA,F,2855.0,,385.0,484.0,537.0,18525.0,6.538461539
172,CA,F,2973.0,576.0,591.0,624.0,654.0,,7.25
173,CA,F,2289.0,631.0,647.0,657.0,679.0,22571.0,9.769230769
180,CA,M,1801.0,495.0,534.0,475.0,525.0,18663.0,19.47058824
188,CA,M,1862.0,365.0,372.0,401.0,425.0,10521.0,17.85714286
