name;image;description;positions;known_for
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Los ángeles de Charlie: Al límite
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;4,9
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Dirección
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;2003
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Terminator: Salvation
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;6,5
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Dirección(directed by)
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;2009
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;The Babysitter: Killer Queen
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;5,8
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Producción(p.g.a.)
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;2020
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Los ángeles de Charlie
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;5,6
McG;https://m.media-amazon.com/images/M/MV5BMTI1MTg2MTM1MF5BMl5BanBnXkFtZTcwMDIxNDY1Mg@@._V1_UY98_CR2,0,67,98_AL_.jpg;McG was born on August 9, 1968 in Kalamazoo, Michigan, USA. He is a producer and director, known for Los ángeles de Charlie: Al límite (2003), Terminator: Salvation (2009) and The Babysitter: Killer Queen (2020).;Producción Equipos adicionales Dirección;Dirección(directed by)
